id,data,party_or_author_type,party_popularity,aprovacao
96076-46,2003-02-19,Órgão do Poder Executivo,0.0,1.0
96076-49,2003-02-19,Órgão do Poder Executivo,100.0,1.0
101651-2,2003-02-26,Órgão do Poder Executivo,100.0,1.0
90170-30,2003-02-26,Órgão do Poder Executivo,100.0,1.0
102635-18,2003-02-27,Órgão do Poder Legislativo,0.0,1.0
90170-23,2003-02-27,Órgão do Poder Executivo,100.0,1.0
90170-25,2003-02-27,Órgão do Poder Executivo,100.0,1.0
105029-15,2003-03-18,PR,0.0,1.0
107184-2,2003-03-18,PR,100.0,1.0
107254-2,2003-03-18,Órgão do Poder Executivo,100.0,1.0
31767-21,2003-03-18,Órgão do Poder Executivo,100.0,1.0
105909-2,2003-03-20,DEM,0.0,1.0
19701-51,2003-03-20,PT,0.0,1.0
19701-54,2003-03-20,PT,100.0,1.0
31959-39,2003-03-20,DEM,100.0,1.0
31767-31,2003-03-25,Órgão do Poder Executivo,100.0,1.0
108066-5,2003-03-27,Órgão do Poder Executivo,100.0,1.0
108076-4,2003-03-27,Órgão do Poder Legislativo,100.0,1.0
45573-30,2003-03-27,Órgão do Poder Executivo,100.0,1.0
31767-67,2003-04-01,Órgão do Poder Executivo,100.0,1.0
31767-68,2003-04-01,Órgão do Poder Executivo,100.0,0.0
31767-69,2003-04-01,Órgão do Poder Executivo,80.0,1.0
31767-70,2003-04-01,Órgão do Poder Executivo,80.0,1.0
31767-71,2003-04-01,Órgão do Poder Executivo,80.0,1.0
31767-74,2003-04-01,Órgão do Poder Executivo,80.0,1.0
105898-6,2003-04-02,PSB,0.0,1.0
105898-7,2003-04-02,PSB,100.0,1.0
107690-19,2003-04-02,Órgão do Poder Executivo,80.0,1.0
107962-8,2003-04-02,Órgão do Poder Legislativo,100.0,1.0
108265-5,2003-04-02,Órgão do Poder Executivo,100.0,1.0
109530-5,2003-04-02,PSDB,0.0,1.0
18564-40,2003-04-02,Órgão do Poder Legislativo,100.0,1.0
18973-17,2003-04-02,PSDB,100.0,1.0
34462-17,2003-04-02,Órgão do Poder Legislativo,100.0,1.0
45573-38,2003-04-02,Órgão do Poder Executivo,100.0,1.0
45573-44,2003-04-02,Órgão do Poder Executivo,100.0,1.0
50717-20,2003-04-02,PSB,100.0,1.0
106560-55,2003-05-14,Órgão do Poder Executivo,100.0,1.0
106560-56,2003-05-14,Órgão do Poder Executivo,100.0,1.0
106560-58,2003-05-14,Órgão do Poder Executivo,100.0,1.0
106736-53,2003-05-15,Órgão do Poder Executivo,100.0,1.0
106736-58,2003-05-15,Órgão do Poder Executivo,100.0,1.0
108076-6,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
108379-6,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
115203-4,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
115522-4,2003-05-15,PP,0.0,1.0
115523-4,2003-05-15,Órgão do Poder Executivo,100.0,1.0
115525-4,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
115528-4,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
115530-4,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
115531-4,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
115653-4,2003-05-15,Órgão do Poder Judiciário,0.0,1.0
115779-4,2003-05-15,PSDB,100.0,1.0
115782-4,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
115784-4,2003-05-15,COMISSÃO MISTA PERMANENTE,0.0,1.0
37564-52,2003-05-15,Órgão do Poder Judiciário,100.0,1.0
37564-53,2003-05-15,Órgão do Poder Judiciário,100.0,1.0
55519-39,2003-05-15,Órgão do Poder Legislativo,100.0,1.0
105029-61,2003-06-04,PR,100.0,1.0
105029-63,2003-06-04,PR,100.0,1.0
108790-4,2003-06-04,PV,0.0,1.0
115155-58,2003-06-04,Órgão do Poder Legislativo,100.0,1.0
115155-60,2003-06-04,Órgão do Poder Legislativo,100.0,1.0
115870-16,2003-06-04,Órgão do Poder Executivo,100.0,1.0
117427-4,2003-06-04,PFL,0.0,1.0
118499-9,2003-06-04,Órgão do Poder Executivo,100.0,1.0
118500-4,2003-06-04,Órgão do Poder Executivo,100.0,1.0
118500-5,2003-06-04,Órgão do Poder Executivo,100.0,1.0
44891-9,2003-06-04,Órgão do Poder Executivo,100.0,1.0
64338-5,2003-06-04,PROS,0.0,1.0
