voting_session_id,session_date,legislatura,total_deputies,not_found_orientation,PP_orientation,PL_orientation,PCdoB_orientation,PDT_orientation,PT_orientation,PSD_orientation,REPUBLIC_orientation,PSOL_orientation,UNIÃO_orientation,PSDB_orientation,MDB_orientation,PODE_orientation,yes_deputies,no_deputies,other_deputies,yes_orientation_percentage,no_orientation_percentage,other_orientation_percentage,CIDADANIA_orientation,PSB_orientation,SOLIDARI_orientation,AVANTE_orientation,PRD_orientation,PV_orientation,NOVO_orientation,REDE_orientation,S.PART._orientation
96076-49,2003-02-19,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
96076-46,2003-02-19,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
90170-30,2003-02-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
101651-2,2003-02-26,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
90170-25,2003-02-27,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
102635-18,2003-02-27,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
90170-23,2003-02-27,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
105029-15,2003-03-18,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
107184-2,2003-03-18,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
107254-2,2003-03-18,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
